case_id,true_planner,true_motive,true_concealer,stable_boy_drugged,dog_silent,delicate_knife_found,alias_bill_found,horse_at_scene,coat_deliberately_placed,horse_hidden_by_neighbor,death_consistent_with_horse_kick,outsider_seen_near_stable,tracks_to_rival_property,dog_familiarity_score,instrument_delicacy_score,post_outsider_gambler,post_trainer,post_rival_trainer,post_unknown_intruder,pred_planner,pred_confidence,is_correct
24,rival_trainer,horse_concealment,rival_trainer,0,0,0,1,1,0,1,0,0,1,0.3298395048739279,0.3924130862586638,0.0012647518231939513,3.665304552046879e-07,0.9986184993208541,0.00011638232549678263,rival_trainer,0.9986184993208541,1
25,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,1,1,1,0.2909955915066538,0.11584540474591036,0.7790715356738797,1.1190292838242826e-11,0.14034253294062018,0.08058593137430987,outsider_gambler,0.7790715356738797,1
26,outsider_gambler,betting_sabotage,outsider_gambler,1,1,0,0,1,0,0,0,1,0,0.2237911820249991,0.3875216751809294,0.9399566498693475,6.940996300589444e-08,0.007943783274297456,0.052099497446392064,outsider_gambler,0.9399566498693475,1
27,trainer,concealed_financial_pressure,none,0,1,1,1,1,1,1,1,0,0,0.6374752888468348,0.8521369156567903,2.5319783967256434e-10,0.9999997548025941,2.4494395241385083e-07,2.5578945419223283e-13,trainer,0.9999997548025941,1
28,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7667378880554819,0.7702626702151316,3.3543952135473385e-13,0.9999999675409056,3.245875880640233e-08,8.640147728405697e-17,trainer,0.9999999675409056,1
29,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6436652872708515,0.9380856762983509,9.829539549364301e-15,0.9999999989269364,1.0730537623354319e-09,8.445874073227672e-19,trainer,0.9999999989269364,1
30,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,1,1,1,0.9387153383709789,0.9681802879293576,6.483522483210984e-18,0.9999999999998861,1.1391129585069823e-13,5.1541651538972204e-23,trainer,0.9999999999998861,1
31,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.6065875997203751,0.723906916567609,5.748706082749718e-10,0.9999978358787028,2.1635463546365566e-06,7.191552000148299e-14,trainer,0.9999978358787028,1
32,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,0,1,0.18345082626929596,0.3233644226509145,0.005399200707455933,2.1542797227190713e-11,0.9921438729506964,0.002456926320304825,rival_trainer,0.9921438729506964,1
33,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,1,0,0.08508316823028092,0.39738195553118205,0.7479179690316713,1.9524045262557672e-14,0.001417135273058651,0.2506648956952505,outsider_gambler,0.7479179690316713,1
34,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.9854105492657297,0.7627109636245479,5.519885820318561e-18,0.9999999999999638,3.616257106933547e-14,3.513393613257083e-22,trainer,0.9999999999999638,1
35,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,0,1,0.22675789998649495,0.32742493511234555,0.004679055945438783,9.429473080508002e-11,0.9933828279194519,0.0019381160408146318,rival_trainer,0.9933828279194519,1
36,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9113115019318719,0.9475095762794602,1.1332890262975256e-18,0.9999999999996925,3.0742761909751897e-13,2.8916215949461126e-23,trainer,0.9999999999996925,1
37,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,1,1,0,0.25881535129817945,0.2640811115244403,0.8561730767665748,4.379237680512485e-11,0.004457993612209669,0.13936892957742306,outsider_gambler,0.8561730767665748,0
38,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,0,0,0.03965954416513924,0.20459095588668005,0.17185723265884756,2.7233128006191455e-19,0.0014402304923102438,0.8267025368488422,unknown_intruder,0.8267025368488422,1
39,trainer,concealed_financial_pressure,none,1,1,1,1,1,0,0,1,0,1,0.889527988514693,0.8338022921074902,1.8475965481003533e-13,0.9999999998170617,1.8275354526933806e-10,5.406178209724326e-17,trainer,0.9999999998170617,1
40,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.11830687828391144,0.3147470379641013,0.7134142690403238,2.189053467470776e-14,0.001313274266605662,0.2852724566930487,outsider_gambler,0.7134142690403238,0
41,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,1,0,0,1,0,0.10161595177726201,0.09717615282993204,0.49880223099650894,1.1746697199150673e-18,0.0005671629734891424,0.5006306060300019,unknown_intruder,0.5006306060300019,1
42,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.6822212577388616,0.6361303843617735,5.20461871122307e-10,0.9999870698917983,1.2929587215324974e-05,5.244510782239445e-13,trainer,0.9999870698917983,1
43,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,0,1,0,1,1,0.7662425996951641,0.7735903783779923,2.4357095695598407e-08,0.9999778172935373,2.2158333252382335e-05,1.6114528684782992e-11,trainer,0.9999778172935373,1
44,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,1,0.3581999630417654,0.30137494473710297,0.7291384602235305,1.912435783952653e-08,0.22815041983399717,0.04271110081811457,outsider_gambler,0.7291384602235305,1
45,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,1,1,0.28476227453447794,0.6818491911919056,0.030284772972914466,5.32267779486334e-07,0.9688238599003924,0.0008908348589135674,rival_trainer,0.9688238599003924,1
46,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,1,1,0.5485478683214571,0.8970534945551989,1.5125241676575705e-08,0.9999877976403876,1.218723067353236e-05,3.697286690845038e-12,trainer,0.9999877976403876,1
47,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,1,1,0,1,0,1,1,0.18419176336752685,0.35165653520758977,0.024809770839249682,6.329128477600422e-08,0.9748617909371406,0.0003283749323248529,rival_trainer,0.9748617909371406,1
48,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8951188629425572,0.8964126920235147,5.772649004122754e-17,0.9999999999880831,1.1916904329638822e-11,3.39145494487515e-21,trainer,0.9999999999880831,1
49,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7923422174733873,0.881003195320899,4.5953116718954926e-14,0.9999999975303917,2.4695622406201865e-09,8.974713369139118e-18,trainer,0.9999999975303917,1
50,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,1,1,0,0.2763571908240548,0.09154369714786531,0.6342744783990496,3.28800384928072e-15,0.0010482021051425251,0.36467731949580456,outsider_gambler,0.6342744783990496,0
51,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,0,0,0,0,0.06256176248479331,0.16098807800421702,0.2283030248189081,9.82153914490943e-18,0.002688794870783487,0.7690081803103085,unknown_intruder,0.7690081803103085,0
52,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7107875873970734,0.8908487725190584,2.8345355571988326e-14,0.9999999969080222,3.0919494019762036e-09,3.751709015743359e-18,trainer,0.9999999969080222,1
53,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.7209959357512079,0.5826512885622878,8.901547841986586e-10,0.9999966425675128,3.3565421869532868e-06,1.4563034931128238e-13,trainer,0.9999966425675128,1
54,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,0,0.1477591981833617,0.29455198761836016,0.8661252361300649,1.6257050916625065e-12,0.0022427502021623797,0.13163201366614716,outsider_gambler,0.8661252361300649,1
55,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,0,1,0.8132533122376514,0.8387916280257423,1.899170745906844e-11,0.9999995945859417,4.053950519288477e-07,1.463427966070863e-14,trainer,0.9999995945859417,1
56,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.5921095355528564,0.8722687354938298,8.535341470059189e-13,0.9999999318182813,6.818086493307944e-08,1.7665467143092275e-16,trainer,0.9999999318182813,1
57,outsider_gambler,betting_sabotage,outsider_gambler,1,0,0,0,1,0,0,0,1,0,0.22825194042221275,0.2407752764884174,0.8615487429590782,7.187939264684303e-12,0.002443612341106907,0.13600764469262697,outsider_gambler,0.8615487429590782,1
58,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9269003693575412,0.6042894188866801,3.0547964965292693e-13,0.9999999973444778,2.6552166454962804e-09,1.726389051794423e-17,trainer,0.9999999973444778,1
59,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,1,0.8174079029555245,0.8292946538366257,1.4529607914167882e-14,0.999999998152838,1.8471473557655235e-09,2.2126994990444557e-18,trainer,0.999999998152838,1
60,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,1,1,0.7057744140204537,0.9362625930356357,3.5215496071109516e-14,0.999999999727692,2.72272694634473e-10,6.899608126739588e-19,trainer,0.999999999727692,1
61,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,0,1,0,0.05360155563425905,0.15217017990227433,0.40467023902010146,3.863747762742824e-20,0.0001915814653910905,0.5951381795145074,unknown_intruder,0.5951381795145074,0
62,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.7596213958450755,0.891494451311306,1.0432860841236849e-13,0.9999999991995143,8.003812629502747e-10,3.0653742655274756e-18,trainer,0.9999999991995143,1
63,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.11670927420357981,0.2159288827821682,0.6340302433914717,9.661396716570045e-16,0.0008339817689476248,0.3651357748395797,outsider_gambler,0.6340302433914717,0
64,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7418480917658484,0.8149950819085149,1.9015210861939352e-13,0.9999999812040513,1.8795758455597788e-08,4.120389672096417e-17,trainer,0.9999999812040513,1
65,trainer,betting_sabotage,none,1,1,1,1,1,1,1,1,1,1,0.9063577898411075,0.7700986315006656,2.6341694406394742e-14,0.9999999997292508,2.7072275932822043e-10,8.933453481653262e-19,trainer,0.9999999997292508,1
66,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,0,1,1,0,0,1,0.3126491149295841,0.3505736776945051,0.0019485648973956468,8.345090198463462e-10,0.9974693350521072,0.0005820992159881795,rival_trainer,0.9974693350521072,1
67,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6873752892735604,0.8382359290065137,3.482230169394806e-13,0.9999999683687965,3.163085532972068e-08,7.531724572751088e-17,trainer,0.9999999683687965,1
68,outsider_gambler,betting_sabotage,none,1,1,1,0,1,1,0,1,1,0,0.012466978115856807,0.28586807252249485,0.9686058450457659,1.8618799867991338e-12,0.011431131572481183,0.019963023379891132,outsider_gambler,0.9686058450457659,1
69,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,1,0,0.09392923650310943,0.2694441288308072,0.5615141945152845,1.2531699335922112e-16,0.0005852251756101418,0.4379005803091052,outsider_gambler,0.5615141945152845,0
70,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6205522575085134,0.9014184997260231,1.3420046668101388e-13,0.9999999876971536,1.2302712067819036e-08,1.9794357104114695e-17,trainer,0.9999999876971536,1
71,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,1,1,0.6704657452234929,0.8039366348224727,2.8875002628222724e-08,0.9999757258365851,2.4245277348270116e-05,1.1064081910779993e-11,trainer,0.9999757258365851,1
72,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,1,0.7129426329329569,0.5546074673380288,3.7815742847392526e-09,0.999996963448265,3.0327657025156973e-06,4.4580423900434645e-12,trainer,0.999996963448265,1
73,rival_trainer,competitive_sabotage,rival_trainer,1,0,1,0,1,1,1,1,1,1,0.28800952781828376,0.4367073757611543,0.004289582337714283,0.0003862137845824949,0.9953103108844352,1.3892993267913612e-05,rival_trainer,0.9953103108844352,1
74,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7796818808750221,0.993794400943011,2.5088996432962636e-20,0.9999999999999936,6.359880400776018e-15,1.434623232528619e-25,trainer,0.9999999999999936,1
75,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,0,0.6604418129846461,0.8599874053168319,1.255669605842276e-10,0.9999999974570362,2.417325713507279e-09,7.11061623746793e-14,trainer,0.9999999974570362,1
76,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,1,0,0,0,0,0.11248863550874766,0.013530226256077567,0.10363044078172588,1.5414088864124987e-22,0.0005533084082851969,0.895816250809989,unknown_intruder,0.895816250809989,1
77,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.3110102306013753,0.013379832068631555,0.2735181885423963,4.474499133572009e-21,6.863820692776869e-05,0.7264131732506759,unknown_intruder,0.7264131732506759,1
78,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8130310761006317,0.7966645521696922,4.3274462966430263e-14,0.9999999949297009,5.070255828066697e-09,8.184530672389866e-18,trainer,0.9999999949297009,1
79,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,1,0,0.11892863969386572,0.05178108315366794,0.2818966194378633,3.1815381504661882e-21,8.505137983941868e-05,0.7180183291822972,unknown_intruder,0.7180183291822972,1
80,rival_trainer,competitive_sabotage,rival_trainer,0,0,1,0,1,1,1,1,1,1,0.49572011908856933,0.5798436200691232,0.002654929564335432,0.0239734380898967,0.9733615953343367,1.0037011431139913e-05,rival_trainer,0.9733615953343367,1
81,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.9008211748840739,0.9650260710172309,5.644829697291691e-18,0.999999999999976,2.400770389331216e-14,1.7908887584221644e-22,trainer,0.999999999999976,1
82,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9051930093097754,0.8684548630002565,1.0879810847314412e-16,0.9999999999779194,2.2080360163183814e-11,7.691037501280944e-21,trainer,0.9999999999779194,1
83,outsider_gambler,betting_sabotage,outsider_gambler,0,0,0,0,1,1,0,0,1,0,0.22737275764002027,0.1212022326103923,0.7028516214144265,1.625043858713083e-14,0.0020933920267458914,0.29505498655881135,outsider_gambler,0.7028516214144265,1
84,trainer,betting_sabotage,rival_trainer,1,0,1,1,1,1,1,0,0,1,0.6110266647747553,0.6707998857955396,7.875944408160286e-07,0.9891436654803807,0.010855545098645919,1.8265326168057506e-09,trainer,0.9891436654803807,1
85,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7831791512383738,0.8826065829928015,6.146461782651319e-15,0.9999999992048572,7.951366234904747e-10,7.053493315482334e-19,trainer,0.9999999992048572,1
86,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8431047276303463,0.5203659343735513,9.284197558824632e-11,0.9999995513853303,4.485218156180288e-07,1.2100724629657998e-14,trainer,0.9999995513853303,1
87,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9207214865403504,0.8211599128841842,2.7687891157278006e-15,0.9999999999654936,3.450354905342891e-11,6.235524703312429e-20,trainer,0.9999999999654936,1
88,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.88219719733737,0.9648467325524274,8.864963071021804e-19,0.9999999999997744,2.2568725413476286e-13,1.8397573832720587e-23,trainer,0.9999999999997744,1
89,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9146328813333819,0.8311069776957444,2.285759223657449e-16,0.9999999999548699,4.512979155269718e-11,1.9751461100303477e-20,trainer,0.9999999999548699,1
90,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,1,1,1,0,1,0.10816038979265805,0.3419664642231114,0.0013945521763521708,6.376015892172568e-11,0.9984219785445845,0.00018346921530325487,rival_trainer,0.9984219785445845,1
91,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,0,0.20307524613080713,0.3462744118263476,0.8944093263089273,5.7500417752905607e-11,0.0032447476379127097,0.10234592599565959,outsider_gambler,0.8944093263089273,1
92,unknown_intruder,opportunistic_intrusion,none,0,0,0,1,0,0,0,0,1,0,0.10832040863149152,0.28229661744036383,0.8085994056764763,1.1149766463036003e-13,0.002312724452333527,0.18908786987107884,outsider_gambler,0.8085994056764763,0
93,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,0,1,0,0.1572587328402364,0.16463246986678348,0.49297277588287186,8.813723403751561e-17,0.0004525001209530491,0.506574723996175,unknown_intruder,0.506574723996175,0
94,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8880515023853365,0.8455334439418067,7.520768961883992e-15,0.999999999918344,8.164850013646023e-11,1.8434658563083636e-19,trainer,0.999999999918344,1
95,rival_trainer,competitive_sabotage,none,1,0,0,0,1,0,1,1,0,1,0.2602196572886876,0.5417262678415512,0.000990122618778024,4.06350984911282e-06,0.9989724682939858,3.334557738696628e-05,rival_trainer,0.9989724682939858,1
96,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8669127797655599,0.8320700668083927,2.2561170045764016e-15,0.9999999996519531,3.4804467391127394e-10,2.6717221068334575e-19,trainer,0.9999999996519531,1
97,rival_trainer,competitive_sabotage,none,0,0,0,0,1,0,1,0,0,1,0.2776778099584929,0.27958556686057046,0.004700485474882884,1.2188411774402103e-10,0.9932002885172353,0.002099225885997576,rival_trainer,0.9932002885172353,1
98,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,0,0,1,0,1,1,0.3589828422424867,0.5555196359392589,0.0428856257858799,4.037164511773939e-08,0.954363032846425,0.002751300996049944,rival_trainer,0.954363032846425,1
99,rival_trainer,competitive_sabotage,none,0,0,0,0,0,1,1,0,1,1,0.21613186907182355,0.2742422254590394,0.047740219139532816,1.3003778620693127e-11,0.9466425436448195,0.005617237202643982,rival_trainer,0.9466425436448195,1
100,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9428009424601497,0.8273524470117265,3.5319654562876396e-17,0.9999999999914195,8.580328707654363e-12,2.3493508194980224e-21,trainer,0.9999999999914195,1
101,trainer,betting_sabotage,none,0,1,1,1,1,1,1,1,1,0,0.8479077019100035,0.7981188592940885,6.245094769058127e-11,0.9999999939988609,5.938676326666929e-09,1.1871866545341623e-14,trainer,0.9999999939988609,1
102,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,0,0,0,0,1,0,0.06710433777472105,0.04190382537882204,0.4356180725185287,7.318680282484603e-22,0.00010609226186066614,0.5642758352196106,unknown_intruder,0.5642758352196106,1
103,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,1,1,1,1,1,0.2756615833927322,0.10562871572627845,0.025711049425230025,2.674626341549983e-10,0.9736360653641487,0.0006528849431586781,rival_trainer,0.9736360653641487,1
104,rival_trainer,competitive_sabotage,rival_trainer,0,1,0,0,1,0,1,0,0,1,0.3524246821222046,0.33480694597483374,0.0017119338527980849,2.805950298335724e-07,0.9979663060247779,0.0003214795273942907,rival_trainer,0.9979663060247779,1
105,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,0,1,0,1,0.149668101250636,0.18228020428588235,0.2228670837008593,3.025338960741125e-12,0.6392436344200548,0.1378892818760605,rival_trainer,0.6392436344200548,0
106,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9428986545501009,0.8663414156060166,1.2205617751312618e-16,0.9999999999979934,2.0065929149624677e-12,1.5735998848179418e-21,trainer,0.9999999999979934,1
107,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,1,1,0,0.09261490559207672,0.3073095785339517,0.7625224111876654,1.2316711815095772e-14,0.0018121863666381416,0.23566540244568418,outsider_gambler,0.7625224111876654,1
108,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8357989095029161,0.48057185039068884,2.725840175478856e-10,0.999998816132383,1.1835949912961923e-06,4.173548283561668e-14,trainer,0.999998816132383,1
109,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,0,1,0,0.03689549815469932,0.22571343485112327,0.6944485268765186,2.6501179567246684e-18,0.0004953972255134376,0.3050560758979679,outsider_gambler,0.6944485268765186,1
110,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,0,0,0,1,0,0.1452333825432247,0.3305096966325262,0.8785910666859056,3.737308375580668e-12,0.0024955270749847528,0.11891340623537235,outsider_gambler,0.8785910666859056,0
111,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.8992543774094119,0.8697159858632356,2.2694696673499723e-15,0.9999999999932294,6.768367360642642e-12,2.887367577920282e-19,trainer,0.9999999999932294,1
112,outsider_gambler,betting_sabotage,none,1,1,1,0,0,1,1,1,1,0,0.12024365665782544,0.2949569081349738,0.32315703207970653,3.116403576192445e-06,0.6732655494991093,0.0035743020176079218,rival_trainer,0.6732655494991093,0
113,rival_trainer,horse_concealment,none,0,0,0,0,1,1,1,0,0,0,0.18563354450648464,0.22655211509112558,0.14914129450722108,2.29372799520444e-11,0.7547758766119411,0.09608282885790059,rival_trainer,0.7547758766119411,1
114,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.1617827394475646,0.10364313400641893,0.5196492717175811,4.085156935933238e-17,0.0004470978589214149,0.4799036304234974,outsider_gambler,0.5196492717175811,0
115,rival_trainer,horse_concealment,none,0,0,0,1,1,1,1,1,0,1,0.4179164433625232,0.3088528799989742,0.0002583568082911012,1.9686902593089226e-05,0.9997149399595096,7.016329606328833e-06,rival_trainer,0.9997149399595096,1
