case_id,true_planner,true_motive,true_concealer,stable_boy_drugged,dog_silent,delicate_knife_found,alias_bill_found,horse_at_scene,coat_deliberately_placed,horse_hidden_by_neighbor,death_consistent_with_horse_kick,outsider_seen_near_stable,tracks_to_rival_property,dog_familiarity_score,instrument_delicacy_score
15,outsider_gambler,betting_sabotage,none,0,0,0,0,0,1,0,1,1,0,0.3034775605341874,0.41819914824654725
16,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,0,0,1,0,0,1,0.11735587973867613,0.4393233699034259
17,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7725942843087144,0.6619083349608459
18,trainer,concealed_financial_pressure,none,0,1,1,1,1,0,1,1,1,0,0.8556926279013456,0.8557116542407177
19,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,0,0,0.0335812169713581,0.024554888460032693
20,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.841067922450096,0.9817394831247082
21,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,0,1,1,0.8860104203789227,0.9450582243839605
22,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.6210245291039255,0.9434465790595077
23,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,1,1,0.3896767319412402,0.2855120939536467
24,rival_trainer,horse_concealment,rival_trainer,0,0,0,1,1,0,1,0,0,1,0.3298395048739279,0.3924130862586638
25,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,1,1,1,0.2909955915066538,0.11584540474591036
26,outsider_gambler,betting_sabotage,outsider_gambler,1,1,0,0,1,0,0,0,1,0,0.2237911820249991,0.3875216751809294
27,trainer,concealed_financial_pressure,none,0,1,1,1,1,1,1,1,0,0,0.6374752888468348,0.8521369156567903
28,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7667378880554819,0.7702626702151316
29,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6436652872708515,0.9380856762983509
30,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,1,1,1,0.9387153383709789,0.9681802879293576
31,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.6065875997203751,0.723906916567609
32,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,0,1,0.18345082626929596,0.3233644226509145
33,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,1,0,0.08508316823028092,0.39738195553118205
34,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.9854105492657297,0.7627109636245479
35,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,0,1,0.22675789998649495,0.32742493511234555
36,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9113115019318719,0.9475095762794602
37,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,1,1,0,0.25881535129817945,0.2640811115244403
38,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,0,0,0.03965954416513924,0.20459095588668005
39,trainer,concealed_financial_pressure,none,1,1,1,1,1,0,0,1,0,1,0.889527988514693,0.8338022921074902
40,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.11830687828391144,0.3147470379641013
41,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,1,0,0,1,0,0.10161595177726201,0.09717615282993204
42,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.6822212577388616,0.6361303843617735
43,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,0,1,0,1,1,0.7662425996951641,0.7735903783779923
44,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,1,0.3581999630417654,0.30137494473710297
45,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,1,1,0.28476227453447794,0.6818491911919056
46,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,1,1,0.5485478683214571,0.8970534945551989
47,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,1,1,0,1,0,1,1,0.18419176336752685,0.35165653520758977
48,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8951188629425572,0.8964126920235147
49,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7923422174733873,0.881003195320899
50,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,1,1,0,0.2763571908240548,0.09154369714786531
51,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,0,0,0,0,0.06256176248479331,0.16098807800421702
52,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7107875873970734,0.8908487725190584
53,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.7209959357512079,0.5826512885622878
54,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,0,0.1477591981833617,0.29455198761836016
55,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,0,1,0.8132533122376514,0.8387916280257423
56,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.5921095355528564,0.8722687354938298
57,outsider_gambler,betting_sabotage,outsider_gambler,1,0,0,0,1,0,0,0,1,0,0.22825194042221275,0.2407752764884174
58,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9269003693575412,0.6042894188866801
59,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,1,0.8174079029555245,0.8292946538366257
60,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,1,1,0.7057744140204537,0.9362625930356357
61,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,0,1,0,0.05360155563425905,0.15217017990227433
62,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.7596213958450755,0.891494451311306
63,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.11670927420357981,0.2159288827821682
64,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7418480917658484,0.8149950819085149
65,trainer,betting_sabotage,none,1,1,1,1,1,1,1,1,1,1,0.9063577898411075,0.7700986315006656
66,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,0,1,1,0,0,1,0.3126491149295841,0.3505736776945051
67,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6873752892735604,0.8382359290065137
68,outsider_gambler,betting_sabotage,none,1,1,1,0,1,1,0,1,1,0,0.012466978115856807,0.28586807252249485
69,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,1,0,0.09392923650310943,0.2694441288308072
70,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6205522575085134,0.9014184997260231
71,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,0,1,1,1,1,0.6704657452234929,0.8039366348224727
72,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,1,0.7129426329329569,0.5546074673380288
73,rival_trainer,competitive_sabotage,rival_trainer,1,0,1,0,1,1,1,1,1,1,0.28800952781828376,0.4367073757611543
74,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7796818808750221,0.993794400943011
75,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,0,0.6604418129846461,0.8599874053168319
76,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,1,0,0,0,0,0.11248863550874766,0.013530226256077567
77,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.3110102306013753,0.013379832068631555
78,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8130310761006317,0.7966645521696922
79,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,1,0,0.11892863969386572,0.05178108315366794
80,rival_trainer,competitive_sabotage,rival_trainer,0,0,1,0,1,1,1,1,1,1,0.49572011908856933,0.5798436200691232
81,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.9008211748840739,0.9650260710172309
82,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9051930093097754,0.8684548630002565
83,outsider_gambler,betting_sabotage,outsider_gambler,0,0,0,0,1,1,0,0,1,0,0.22737275764002027,0.1212022326103923
84,trainer,betting_sabotage,rival_trainer,1,0,1,1,1,1,1,0,0,1,0.6110266647747553,0.6707998857955396
85,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7831791512383738,0.8826065829928015
86,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8431047276303463,0.5203659343735513
87,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9207214865403504,0.8211599128841842
88,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.88219719733737,0.9648467325524274
89,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9146328813333819,0.8311069776957444
90,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,1,1,1,0,1,0.10816038979265805,0.3419664642231114
91,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,0,0.20307524613080713,0.3462744118263476
92,unknown_intruder,opportunistic_intrusion,none,0,0,0,1,0,0,0,0,1,0,0.10832040863149152,0.28229661744036383
93,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,0,1,0,0.1572587328402364,0.16463246986678348
94,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8880515023853365,0.8455334439418067
95,rival_trainer,competitive_sabotage,none,1,0,0,0,1,0,1,1,0,1,0.2602196572886876,0.5417262678415512
96,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8669127797655599,0.8320700668083927
97,rival_trainer,competitive_sabotage,none,0,0,0,0,1,0,1,0,0,1,0.2776778099584929,0.27958556686057046
98,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,0,0,1,0,1,1,0.3589828422424867,0.5555196359392589
99,rival_trainer,competitive_sabotage,none,0,0,0,0,0,1,1,0,1,1,0.21613186907182355,0.2742422254590394
100,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9428009424601497,0.8273524470117265
101,trainer,betting_sabotage,none,0,1,1,1,1,1,1,1,1,0,0.8479077019100035,0.7981188592940885
102,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,0,0,0,0,1,0,0.06710433777472105,0.04190382537882204
103,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,1,1,1,1,1,0.2756615833927322,0.10562871572627845
104,rival_trainer,competitive_sabotage,rival_trainer,0,1,0,0,1,0,1,0,0,1,0.3524246821222046,0.33480694597483374
105,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,0,1,0,1,0.149668101250636,0.18228020428588235
106,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.9428986545501009,0.8663414156060166
107,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,1,1,0,0.09261490559207672,0.3073095785339517
108,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8357989095029161,0.48057185039068884
109,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,0,1,0,0.03689549815469932,0.22571343485112327
110,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,0,0,0,1,0,0.1452333825432247,0.3305096966325262
111,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.8992543774094119,0.8697159858632356
112,outsider_gambler,betting_sabotage,none,1,1,1,0,0,1,1,1,1,0,0.12024365665782544,0.2949569081349738
113,rival_trainer,horse_concealment,none,0,0,0,0,1,1,1,0,0,0,0.18563354450648464,0.22655211509112558
114,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.1617827394475646,0.10364313400641893
115,rival_trainer,horse_concealment,none,0,0,0,1,1,1,1,1,0,1,0.4179164433625232,0.3088528799989742
116,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,1,0.8678248584475019,0.8086224256121531
117,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8343629146154908,0.5971994434041955
118,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8679145654752108,0.7975528796966551
119,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,0,0,1,0.7293718511942583,0.9358020204676767
120,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.800143846489549,0.9126750527942094
121,trainer,concealed_financial_pressure,none,0,1,1,1,1,1,0,1,0,1,0.852790360652079,0.7024330393139294
122,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,1,0,1,0,0.20841270494906863,0.2532723767676771
123,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,1,1,1,0.7856012972384255,0.8371915278867254
124,outsider_gambler,theft_attempt,none,1,0,0,0,0,1,0,0,1,0,0.03162056672914875,0.30735157308919314
125,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,1,1,0.730796689015067,0.9075441733168771
126,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8226151242804272,0.9131437876906908
127,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.9135301960737738,0.7794275274692442
128,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,1,0,0,1,0,0.26367445472086276,0.01853669466823882
129,trainer,concealed_financial_pressure,none,0,1,1,1,1,1,1,1,1,0,0.877894807808897,0.8043726375299199
130,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,1,1,0,1,1,0.09572391496073694,0.6024518146282564
131,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,0,0,0,1,0,0.19805990209709173,0.038615058960846056
132,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.5281854024253577,0.5779476770378421
133,outsider_gambler,betting_sabotage,none,0,0,0,0,1,1,0,0,1,0,0.013414260913711257,0.3493787161604384
134,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7553802220136536,0.8853740544512161
135,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,1,0,0,0,0,0.1436736753558242,0.12750734651734968
136,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,1,1,0.8870577211826886,0.7804785535918363
137,trainer,betting_sabotage,rival_trainer,1,1,0,0,1,0,1,1,0,1,0.8255531379303847,0.6845113069956336
138,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7020871382179666,0.7250898234378904
139,outsider_gambler,betting_sabotage,none,1,0,0,0,1,0,0,0,1,0,0.31071928607336535,0.46625478222216327
140,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.8620758990942078,0.8260853469166641
141,unknown_intruder,opportunistic_intrusion,none,0,1,0,0,1,1,0,0,1,0,0.05764912080960763,0.12395484509542506
142,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9814140582369452,0.6763871031844462
143,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,0,0,0.5535960961537846,0.21065806171619414
144,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,1,1,0.7901231689849849,0.7315968763125379
145,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.7626370129838661,0.8824212999309075
146,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7095658864064538,0.7633339392524875
147,rival_trainer,horse_concealment,rival_trainer,1,1,0,0,1,1,1,0,0,1,0.3076769519149239,0.45579078350151925
148,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,0,0,0.3190909548898177,0.29563387169160615
149,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,1,0,1,0.5178597479054067,0.28889347355426065
150,outsider_gambler,betting_sabotage,none,0,0,0,0,1,1,0,0,0,0,0.10581804972567761,0.4826306046817177
151,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,0,1,0,0,1,0,0.17799860314611632,0.12011253069913663
152,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,1,1,1,0,1,0.49448486278649223,0.30139294053837384
153,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7205063421197733,0.840080766707815
154,rival_trainer,horse_concealment,rival_trainer,0,0,0,0,1,0,1,0,1,1,0.25028279300201456,0.12053496766373721
155,trainer,concealed_financial_pressure,rival_trainer,1,1,1,0,1,1,1,1,0,1,0.7941835082500718,0.8520947878645508
156,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,0,0,1,0.06503233649407233,0.36246647133389964
157,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.84591714258233,0.7111177703319709
158,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,1,1,0,0,1,0.24222111181141429,0.4529923758640704
159,rival_trainer,competitive_sabotage,none,0,1,0,0,1,1,1,0,0,1,0.20054837292557065,0.38072319551841577
160,trainer,concealed_financial_pressure,none,1,1,1,1,1,0,1,1,0,0,0.6779618234505045,0.7676763477069638
161,outsider_gambler,betting_sabotage,none,0,0,0,0,0,0,0,0,1,0,0.35157627409036973,0.15468564754055955
162,rival_trainer,competitive_sabotage,none,0,0,0,0,0,1,1,0,0,1,0.23533852768878497,0.1658500355057464
163,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7941966450477058,0.5981629413755877
164,rival_trainer,horse_concealment,rival_trainer,1,0,0,0,1,1,1,1,0,1,0.06498768806294336,0.15170503890128156
165,outsider_gambler,betting_sabotage,none,1,0,0,0,0,0,0,0,1,0,0.11509443027569453,0.17471503624577414
166,trainer,betting_sabotage,none,1,1,1,1,1,1,1,1,0,1,0.6083518777567025,0.9237630587524697
167,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6850926038508335,0.7175846294710292
168,outsider_gambler,theft_attempt,none,0,0,0,0,1,1,1,0,1,0,0.09121676220129085,0.05999631353762242
169,outsider_gambler,theft_attempt,none,1,0,0,0,0,1,1,0,1,0,0.3358657832892452,0.353008053913422
170,outsider_gambler,theft_attempt,none,0,0,0,0,1,0,0,0,1,1,0.09004554588161492,0.20656108674914966
171,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,0,1,1,0,1,1,0.37967568590131084,0.5619791632875756
172,outsider_gambler,betting_sabotage,none,0,0,0,0,1,1,0,0,1,0,0.5665267597177133,0.20081347660108154
173,outsider_gambler,betting_sabotage,none,0,0,0,0,0,1,0,0,1,1,0.18395890880803953,0.2531745940558689
174,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6128797234467164,0.7950670658171489
175,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,1,0,1,0,0.14610493075541936,0.29705533697870035
176,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,1,0.7946395742271054,0.754490267853389
177,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.69922717278997,0.8027720707877265
178,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6966035982601722,0.849066353101186
179,outsider_gambler,theft_attempt,outsider_gambler,0,0,0,0,1,1,0,0,1,0,0.37165813212332005,0.11664271496835947
180,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,1,1,0.894873125757603,0.9317944498485549
181,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8902795502760326,0.8854046629464204
182,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,0,1,1,1,1,0.793131271230475,0.8158752073782056
183,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8029152167231542,0.878624651867323
184,trainer,concealed_financial_pressure,none,1,1,1,1,1,0,1,1,1,0,0.7976226384024587,0.6021590816395658
185,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6437164284931371,0.9163674161763127
186,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7852298998667976,0.7476640139257378
187,trainer,betting_sabotage,rival_trainer,1,1,1,0,1,1,1,1,0,1,0.7070074445862448,0.8456858843374798
188,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,1,0,0.7392217176106357,0.5526318443491597
189,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,0,1,0,0,0.7946697215788372,0.8403630628403909
190,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9032718711487997,0.8724874115750232
191,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.8661029844103371,0.7876459920590716
192,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,0,0,1,0.767217610827192,0.8615112803213306
193,trainer,betting_sabotage,none,1,1,1,1,1,1,0,1,1,1,0.7026611238401574,0.7883291031186649
194,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,0,0,0.3885570274223507,0.06423649801125049
195,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,1,1,1,0.5567760850829938,0.9436051319489306
196,outsider_gambler,betting_sabotage,outsider_gambler,0,0,1,0,1,0,1,0,1,0,0.11141326289815463,0.10263398889207757
197,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9650541230732697,0.6480289187367707
198,unknown_intruder,opportunistic_intrusion,none,1,0,1,0,0,0,0,0,0,0,0.20149784330962348,0.09014378034672528
199,trainer,concealed_financial_pressure,rival_trainer,0,1,1,1,1,1,1,0,0,1,0.6771107042185648,0.6622069590981625
200,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7829247963147454,0.8443896493522564
201,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.26554457904152506,0.174161064737992
202,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.9353167532069209,0.8729555453157456
203,rival_trainer,horse_concealment,none,0,1,0,0,1,1,1,0,0,1,0.48774748049690625,0.4200940283436093
204,trainer,concealed_financial_pressure,none,1,1,1,1,1,0,1,1,1,0,0.8524080808534065,0.8140870935755695
205,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,1,0,0.0970861212507734,0.226126006528259
206,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.8301024004872977,0.8433414689099118
207,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7284489145254662,0.8342172364820929
208,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6757345455154047,0.821021965634789
209,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7991324343167854,0.7917826280212207
210,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.8233566959903639,0.8858694528657671
211,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.08011250000564435,0.2512075034920684
212,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,0,0,0,1,0,0.045951685921571055,0.08791461380494493
213,trainer,concealed_financial_pressure,none,1,1,1,1,1,1,1,1,0,0,0.7093937946177965,0.6107655028319158
214,outsider_gambler,theft_attempt,none,0,0,0,0,0,0,0,0,1,0,0.20497104051569548,0.2918862462475001
215,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,1,1,0.8010867996552676,0.7375970655234219
216,outsider_gambler,betting_sabotage,none,1,0,0,0,0,1,0,0,0,0,0.16551702652930653,0.39060455400155936
217,trainer,betting_sabotage,none,1,1,1,1,1,1,1,1,0,0,0.8847766994821447,0.7495454924797574
218,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.9222626521844464,0.7677850768926858
219,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,1,0,0.04853040339686323,0.4632180881099658
220,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7439971513460829,0.9741262263005918
221,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.9178833604057492,0.8717723698708436
222,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.17343282123850423,0.21927590802672833
223,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8739452823363192,0.79311221702345
224,outsider_gambler,theft_attempt,none,0,0,0,0,0,0,0,0,1,0,0.11055578819897671,0.3644232647045996
225,outsider_gambler,theft_attempt,none,1,0,0,0,1,1,0,0,1,0,0.37510868012448295,0.21172412816076214
226,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.6993897845786652,0.8206371699480517
227,rival_trainer,horse_concealment,rival_trainer,0,0,0,0,1,0,1,1,0,1,0.16677852172835111,0.19362597131640186
228,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,0,1,0.40344046086054725,0.48844508383929214
